# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 30% (18000 samples)
# Seed: 47
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.459734    94.872     0.271498    98.750    98.750    0.9875    0.9875    0.9875
   1     0.259643    98.672     0.215766    99.050    99.050    0.9905    0.9905    0.9905
   2     0.193842    99.039     0.158665    99.270    99.270    0.9927    0.9927    0.9927
   3     0.149643    99.350     0.130597    99.300    99.300    0.9931    0.9929    0.9930
   4     0.120433    99.461     0.127308    99.300    99.300    0.9930    0.9930    0.9930
   5     0.093594    99.661     0.100428    99.280    99.300    0.9928    0.9928    0.9928
   6     0.079229    99.722     0.077868    99.400    99.400    0.9940    0.9940    0.9940
   7     0.065554    99.817     0.075326    99.390    99.400    0.9939    0.9938    0.9939
   8     0.057077    99.844     0.066785    99.360    99.400    0.9936    0.9936    0.9936
   9     0.049827    99.822     0.067996    99.290    99.400    0.9929    0.9928    0.9928
  10     0.040733    99.950     0.053186    99.410    99.410    0.9941    0.9941    0.9941
  11     0.037093    99.900     0.045590    99.440    99.440    0.9944    0.9944    0.9944
  12     0.034372    99.900     0.043523    99.420    99.440    0.9942    0.9941    0.9942
  13     0.027502    99.978     0.040021    99.430    99.440    0.9943    0.9942    0.9943
  14     0.023560    99.989     0.033915    99.420    99.440    0.9942    0.9942    0.9942
  15     0.025278    99.917     0.048709    99.400    99.440    0.9939    0.9940    0.9940
  16     0.022258    99.950     0.036058    99.360    99.440    0.9936    0.9936    0.9936
  17     0.017641    99.972     0.034473    99.390    99.440    0.9939    0.9939    0.9939
  18     0.016948    99.972     0.030570    99.370    99.440    0.9937    0.9937    0.9937
  19     0.013884   100.000     0.027309    99.450    99.450    0.9945    0.9945    0.9945
  20     0.012927    99.994     0.026770    99.420    99.450    0.9941    0.9942    0.9942
  21     0.011877   100.000     0.026341    99.460    99.460    0.9946    0.9946    0.9946
  22     0.010623   100.000     0.025662    99.490    99.490    0.9949    0.9949    0.9949
  23     0.009908   100.000     0.025426    99.480    99.490    0.9948    0.9948    0.9948
  24     0.009141   100.000     0.025287    99.460    99.490    0.9946    0.9946    0.9946
  25     0.008611   100.000     0.024570    99.450    99.490    0.9945    0.9945    0.9945
  26     0.019024    99.817     0.351402    97.820    99.490    0.9790    0.9774    0.9778
  27     0.037951    99.211     0.384128    97.830    99.490    0.9802    0.9782    0.9787
  28     0.019362    99.761     0.091303    98.600    99.490    0.9863    0.9859    0.9860
  29     0.013290    99.889     0.067580    98.780    99.490    0.9879    0.9879    0.9878
  30     0.008531    99.978     0.027041    99.330    99.490    0.9933    0.9933    0.9933
  31     0.007906    99.983     0.026354    99.380    99.490    0.9938    0.9938    0.9938
  32     0.005820   100.000     0.022496    99.470    99.490    0.9947    0.9947    0.9947
  33     0.005383   100.000     0.020952    99.430    99.490    0.9943    0.9943    0.9943
  34     0.005017   100.000     0.020080    99.450    99.490    0.9945    0.9945    0.9945
  35     0.004654   100.000     0.019812    99.450    99.490    0.9945    0.9945    0.9945
  36     0.004423   100.000     0.020629    99.440    99.490    0.9943    0.9944    0.9944
  37     0.003954   100.000     0.020407    99.450    99.490    0.9945    0.9945    0.9945
  38     0.003713   100.000     0.020059    99.460    99.490    0.9946    0.9946    0.9946
  39     0.003496   100.000     0.020295    99.480    99.490    0.9948    0.9948    0.9948
  40     0.003367   100.000     0.020054    99.470    99.490    0.9947    0.9947    0.9947
  41     0.003190   100.000     0.020466    99.460    99.490    0.9946    0.9946    0.9946
  42     0.003101   100.000     0.020344    99.480    99.490    0.9948    0.9948    0.9948
  43     0.002910   100.000     0.020379    99.470    99.490    0.9947    0.9947    0.9947
  44     0.002739   100.000     0.020252    99.470    99.490    0.9947    0.9947    0.9947
  45     0.002591   100.000     0.019969    99.470    99.490    0.9947    0.9947    0.9947
  46     0.002493   100.000     0.020099    99.470    99.490    0.9947    0.9947    0.9947
  47     0.002336   100.000     0.020216    99.450    99.490    0.9944    0.9945    0.9945
  48     0.002240   100.000     0.019987    99.480    99.490    0.9948    0.9948    0.9948
  49     0.004868    99.922     0.047879    99.110    99.490    0.9913    0.9909    0.9911
  50     0.023413    99.528     0.292540    96.910    99.490    0.9722    0.9695    0.9695
  51     0.009740    99.806     0.112098    98.660    99.490    0.9865    0.9863    0.9862
  52     0.004622    99.967     0.061242    99.010    99.490    0.9902    0.9899    0.9900
  53     0.002557    99.994     0.031638    99.320    99.490    0.9933    0.9931    0.9932
  54     0.002152   100.000     0.026725    99.370    99.490    0.9937    0.9936    0.9937
  55     0.001975   100.000     0.023296    99.340    99.490    0.9934    0.9934    0.9934
  56     0.001927   100.000     0.021684    99.420    99.490    0.9942    0.9941    0.9941
  57     0.001662   100.000     0.020215    99.440    99.490    0.9944    0.9944    0.9944
  58     0.001630   100.000     0.019977    99.440    99.490    0.9944    0.9944    0.9944
  59     0.001544   100.000     0.019765    99.480    99.490    0.9948    0.9948    0.9948
  60     0.001496   100.000     0.018989    99.450    99.490    0.9945    0.9944    0.9945
  61     0.001378   100.000     0.018713    99.500    99.500    0.9950    0.9950    0.9950
  62     0.001315   100.000     0.018830    99.470    99.500    0.9947    0.9947    0.9947
  63     0.001250   100.000     0.018477    99.450    99.500    0.9945    0.9945    0.9945
  64     0.006545    99.900     0.044241    99.170    99.500    0.9916    0.9917    0.9916
  65     0.004506    99.939     0.028767    99.280    99.500    0.9927    0.9928    0.9927
  66     0.004196    99.944     0.029689    99.320    99.500    0.9931    0.9933    0.9932
  67     0.001588   100.000     0.022108    99.410    99.500    0.9941    0.9941    0.9941
  68     0.002228    99.978     0.028203    99.360    99.500    0.9935    0.9936    0.9936
  69     0.001723    99.994     0.022147    99.420    99.500    0.9942    0.9942    0.9942
  70     0.001164   100.000     0.020507    99.480    99.500    0.9948    0.9948    0.9948
  71     0.001075   100.000     0.020596    99.440    99.500    0.9944    0.9944    0.9944
  72     0.001034   100.000     0.019907    99.490    99.500    0.9949    0.9949    0.9949
  73     0.000957   100.000     0.019815    99.480    99.500    0.9948    0.9948    0.9948
  74     0.000902   100.000     0.020277    99.470    99.500    0.9947    0.9947    0.9947
  75     0.000916   100.000     0.020157    99.480    99.500    0.9948    0.9948    0.9948
  76     0.000857   100.000     0.020092    99.490    99.500    0.9949    0.9949    0.9949
  77     0.000821   100.000     0.020569    99.470    99.500    0.9947    0.9947    0.9947
  78     0.000765   100.000     0.020406    99.510    99.510    0.9951    0.9951    0.9951
  79     0.000709   100.000     0.020248    99.500    99.510    0.9950    0.9950    0.9950
  80     0.000727   100.000     0.020598    99.490    99.510    0.9949    0.9949    0.9949
  81     0.000700   100.000     0.020219    99.480    99.510    0.9948    0.9948    0.9948
  82     0.000669   100.000     0.020508    99.450    99.510    0.9945    0.9945    0.9945
  83     0.000628   100.000     0.020717    99.460    99.510    0.9946    0.9946    0.9946
  84     0.000594   100.000     0.020613    99.460    99.510    0.9946    0.9946    0.9946
  85     0.000573   100.000     0.020417    99.460    99.510    0.9946    0.9946    0.9946
  86     0.000566   100.000     0.020507    99.460    99.510    0.9946    0.9946    0.9946
  87     0.000574   100.000     0.020452    99.460    99.510    0.9946    0.9946    0.9946
  88     0.000537   100.000     0.020585    99.490    99.510    0.9949    0.9949    0.9949
  89     0.000501   100.000     0.020409    99.460    99.510    0.9946    0.9946    0.9946
