# ModelM7 Progressive Training Summary - NO DATA AUGMENTATION
# Total models: 20
# Epochs per model: 150
# NO TRANSFORMATIONS APPLIED
#
# Percentage  Seed  Best_Accuracy  Samples
         5    42        98.650     3000
        10    43        99.180     6000
        15    44        99.320     9000
        20    45        99.550    12000
        25    46        99.490    15000
        30    47        99.510    18000
        35    48        99.590    21000
        40    49        99.510    24000
        45    50        99.480    27000
        50    51        99.590    30000
        55    52        99.560    33000
        60    53        99.630    36000
        65    54        99.620    39000
        70    55        99.650    42000
        75    56        99.640    45000
        80    57        99.610    48000
        85    58        99.680    51000
        90    59        99.650    54000
        95    60        99.680    57000
       100    61        99.690    60000
