# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 75% (45000 samples)
# Seed: 56
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.622909    86.836     0.173501    98.880    98.880    0.9889    0.9887    0.9887
   1     0.259695    95.962     0.116589    98.940    98.940    0.9892    0.9895    0.9893
   2     0.180925    96.867     0.106556    98.950    98.950    0.9893    0.9896    0.9894
   3     0.140785    97.387     0.075179    99.190    99.190    0.9919    0.9919    0.9918
   4     0.114846    97.718     0.079844    99.020    99.190    0.9901    0.9902    0.9901
   5     0.103319    97.747     0.082652    98.380    99.190    0.9843    0.9838    0.9837
   6     0.091222    97.940     0.053027    99.320    99.320    0.9932    0.9931    0.9931
   7     0.083949    97.982     0.142394    96.560    99.320    0.9715    0.9657    0.9667
   8     0.073019    98.249     0.057218    99.080    99.320    0.9907    0.9909    0.9908
   9     0.067199    98.333     0.030598    99.360    99.360    0.9936    0.9936    0.9936
  10     0.066192    98.336     0.032669    99.500    99.500    0.9950    0.9950    0.9950
  11     0.060384    98.449     0.080757    98.450    99.500    0.9843    0.9850    0.9845
  12     0.058839    98.422     0.036905    99.190    99.500    0.9918    0.9918    0.9918
  13     0.055075    98.511     0.052986    99.130    99.500    0.9914    0.9915    0.9914
  14     0.051423    98.660     0.027794    99.330    99.500    0.9933    0.9933    0.9932
  15     0.049765    98.616     0.045577    98.960    99.500    0.9898    0.9898    0.9897
  16     0.049383    98.684     0.028911    99.450    99.500    0.9944    0.9945    0.9945
  17     0.046371    98.749     0.027874    99.320    99.500    0.9932    0.9932    0.9932
  18     0.044758    98.718     0.021118    99.500    99.500    0.9950    0.9949    0.9949
  19     0.043233    98.820     0.027363    99.240    99.500    0.9922    0.9925    0.9923
  20     0.039702    98.889     0.058049    98.640    99.500    0.9867    0.9870    0.9866
  21     0.038054    98.944     0.024506    99.370    99.500    0.9937    0.9937    0.9937
  22     0.038507    98.922     0.018215    99.510    99.510    0.9950    0.9950    0.9950
  23     0.035837    98.991     0.019548    99.410    99.510    0.9941    0.9940    0.9940
  24     0.034427    99.011     0.016049    99.530    99.530    0.9953    0.9951    0.9952
  25     0.035876    98.962     0.021446    99.450    99.530    0.9945    0.9943    0.9944
  26     0.032497    99.102     0.033906    99.160    99.530    0.9916    0.9918    0.9917
  27     0.031485    99.049     0.024044    99.360    99.530    0.9937    0.9935    0.9935
  28     0.032791    99.022     0.032183    99.220    99.530    0.9921    0.9923    0.9922
  29     0.029872    99.164     0.018093    99.470    99.530    0.9946    0.9946    0.9946
  30     0.030120    99.104     0.018931    99.490    99.530    0.9948    0.9949    0.9948
  31     0.028198    99.184     0.014096    99.610    99.610    0.9961    0.9960    0.9960
  32     0.027487    99.233     0.026516    99.320    99.610    0.9932    0.9934    0.9932
  33     0.025075    99.258     0.017031    99.540    99.610    0.9953    0.9954    0.9953
  34     0.025663    99.236     0.013428    99.600    99.610    0.9959    0.9960    0.9959
  35     0.024372    99.342     0.012997    99.650    99.650    0.9965    0.9964    0.9964
  36     0.024730    99.282     0.015386    99.540    99.650    0.9954    0.9953    0.9954
  37     0.024307    99.324     0.014950    99.590    99.650    0.9959    0.9959    0.9959
  38     0.022429    99.356     0.013311    99.620    99.650    0.9962    0.9960    0.9961
  39     0.022917    99.338     0.012924    99.580    99.650    0.9959    0.9957    0.9958
  40     0.023495    99.338     0.013977    99.580    99.650    0.9958    0.9958    0.9958
  41     0.020073    99.424     0.010799    99.680    99.680    0.9967    0.9967    0.9967
  42     0.020289    99.411     0.012649    99.620    99.680    0.9962    0.9961    0.9962
  43     0.019750    99.413     0.015271    99.540    99.680    0.9954    0.9953    0.9953
  44     0.018845    99.460     0.015177    99.550    99.680    0.9955    0.9954    0.9954
  45     0.021233    99.371     0.014500    99.590    99.680    0.9959    0.9958    0.9958
  46     0.018693    99.407     0.013335    99.660    99.680    0.9966    0.9965    0.9965
  47     0.017875    99.480     0.016526    99.420    99.680    0.9942    0.9942    0.9941
  48     0.018407    99.436     0.012438    99.590    99.680    0.9959    0.9959    0.9959
  49     0.018214    99.422     0.013858    99.580    99.680    0.9958    0.9957    0.9958
  50     0.017167    99.509     0.011141    99.670    99.680    0.9967    0.9966    0.9966
  51     0.017263    99.502     0.012304    99.630    99.680    0.9963    0.9963    0.9963
  52     0.015951    99.578     0.012452    99.650    99.680    0.9965    0.9964    0.9964
  53     0.014931    99.576     0.013683    99.550    99.680    0.9954    0.9955    0.9955
  54     0.014274    99.591     0.011997    99.630    99.680    0.9963    0.9963    0.9963
  55     0.016683    99.513     0.013993    99.480    99.680    0.9949    0.9948    0.9948
  56     0.014902    99.558     0.011828    99.680    99.680    0.9968    0.9967    0.9968
  57     0.014811    99.567     0.012293    99.670    99.680    0.9967    0.9966    0.9967
  58     0.015000    99.540     0.012127    99.670    99.680    0.9967    0.9966    0.9967
  59     0.014135    99.598     0.012124    99.630    99.680    0.9963    0.9962    0.9963
  60     0.014268    99.576     0.012316    99.640    99.680    0.9964    0.9963    0.9963
  61     0.013350    99.629     0.011484    99.690    99.690    0.9969    0.9968    0.9968
  62     0.013800    99.558     0.017292    99.470    99.690    0.9948    0.9946    0.9947
  63     0.014436    99.591     0.012490    99.610    99.690    0.9961    0.9960    0.9960
  64     0.012432    99.644     0.010645    99.710    99.710    0.9971    0.9970    0.9971
  65     0.012798    99.616     0.013053    99.650    99.710    0.9965    0.9964    0.9965
  66     0.012914    99.611     0.011200    99.700    99.710    0.9970    0.9969    0.9970
  67     0.011843    99.664     0.011030    99.690    99.710    0.9969    0.9968    0.9969
  68     0.012127    99.651     0.011895    99.630    99.710    0.9963    0.9963    0.9963
  69     0.011184    99.687     0.009906    99.750    99.750    0.9975    0.9975    0.9975
  70     0.011902    99.636     0.011280    99.660    99.750    0.9966    0.9965    0.9966
  71     0.010477    99.702     0.011699    99.650    99.750    0.9965    0.9964    0.9965
  72     0.011649    99.678     0.011554    99.700    99.750    0.9970    0.9969    0.9970
  73     0.010958    99.698     0.011694    99.650    99.750    0.9965    0.9964    0.9965
  74     0.010654    99.700     0.011571    99.690    99.750    0.9969    0.9968    0.9969
  75     0.011255    99.649     0.011121    99.700    99.750    0.9970    0.9969    0.9970
  76     0.009570    99.767     0.011559    99.670    99.750    0.9967    0.9966    0.9967
  77     0.010268    99.720     0.011959    99.660    99.750    0.9966    0.9965    0.9966
  78     0.009457    99.716     0.011312    99.680    99.750    0.9968    0.9967    0.9968
  79     0.009365    99.751     0.011896    99.660    99.750    0.9966    0.9965    0.9966
  80     0.009120    99.756     0.012115    99.690    99.750    0.9969    0.9968    0.9969
  81     0.009894    99.720     0.010808    99.680    99.750    0.9968    0.9967    0.9968
  82     0.009520    99.707     0.012107    99.650    99.750    0.9965    0.9964    0.9965
  83     0.009185    99.736     0.012202    99.630    99.750    0.9963    0.9962    0.9963
  84     0.010068    99.698     0.010138    99.710    99.750    0.9971    0.9970    0.9971
  85     0.009803    99.722     0.011791    99.620    99.750    0.9962    0.9961    0.9962
  86     0.010004    99.729     0.010581    99.660    99.750    0.9967    0.9965    0.9966
  87     0.008664    99.760     0.009636    99.700    99.750    0.9970    0.9970    0.9970
  88     0.009145    99.731     0.010620    99.700    99.750    0.9970    0.9970    0.9970
  89     0.008464    99.773     0.011256    99.710    99.750    0.9972    0.9970    0.9971
  90     0.008649    99.776     0.009976    99.720    99.750    0.9972    0.9972    0.9972
