# ModelM7 Progressive Training Summary
# Total models: 20
# Epochs per model: 150
#
# Percentage  Seed  Best_Accuracy  Samples
         5    42        99.090     3000
        10    43        99.550     6000
        15    44        99.550     9000
        20    45        99.570    12000
        25    46        99.570    15000
        30    47        99.680    18000
        35    48        99.630    21000
        40    49        99.650    24000
        45    50        99.630    27000
        50    51        99.680    30000
        55    52        99.660    33000
        60    53        99.680    36000
        65    54        99.700    39000
        70    55        99.680    42000
        75    56        99.770    45000
        80    57        99.740    48000
        85    58        99.770    51000
        90    59        99.730    54000
        95    60        99.740    57000
       100    61        99.750    60000
