Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.523283    90.360     0.162854    98.540    98.540    0.9855    0.9853    0.9853
   1     0.200546    97.243     0.109133    98.890    98.890    0.9889    0.9890    0.9889
   2     0.135741    97.740     0.050998    99.370    99.370    0.9937    0.9935    0.9936
   3     0.104065    98.082     0.050147    99.160    99.370    0.9917    0.9915    0.9915
   4     0.086756    98.242     0.062792    98.760    99.370    0.9876    0.9878    0.9876
   5     0.074278    98.383     0.083762    98.220    99.370    0.9828    0.9826    0.9824
   6     0.068190    98.377     0.035483    99.400    99.400    0.9940    0.9938    0.9939
   7     0.061782    98.583     0.028912    99.530    99.530    0.9953    0.9951    0.9952
   8     0.059774    98.512     0.037442    99.300    99.530    0.9930    0.9928    0.9929
   9     0.052102    98.723     0.054874    98.390    99.530    0.9852    0.9841    0.9842
  10     0.047885    98.705     0.024918    99.510    99.530    0.9951    0.9950    0.9951
  11     0.048807    98.650     0.022448    99.500    99.530    0.9950    0.9949    0.9950
  12     0.043156    98.838     0.033768    99.150    99.530    0.9915    0.9914    0.9914
  13     0.041808    98.933     0.074001    98.080    99.530    0.9815    0.9811    0.9808
  14     0.039729    98.912     0.021982    99.470    99.530    0.9945    0.9947    0.9946
  15     0.037362    98.958     0.020766    99.380    99.530    0.9939    0.9936    0.9937
  16     0.036160    98.985     0.026214    99.310    99.530    0.9933    0.9930    0.9931
  17     0.034415    99.072     0.027930    99.300    99.530    0.9930    0.9929    0.9929
  18     0.033962    99.058     0.014129    99.570    99.570    0.9957    0.9955    0.9956
  19     0.030122    99.158     0.014770    99.550    99.570    0.9956    0.9954    0.9954
  20     0.032794    99.045     0.016267    99.560    99.570    0.9956    0.9955    0.9955
  21     0.029686    99.175     0.070129    97.690    99.570    0.9789    0.9782    0.9777
  22     0.028963    99.155     0.017472    99.450    99.570    0.9946    0.9944    0.9945
  23     0.029423    99.183     0.014915    99.540    99.570    0.9954    0.9953    0.9954
  24     0.027051    99.238     0.010369    99.670    99.670    0.9967    0.9966    0.9966
  25     0.025876    99.225     0.013177    99.630    99.670    0.9963    0.9962    0.9962
  26     0.024402    99.323     0.014416    99.570    99.670    0.9957    0.9956    0.9956
  27     0.024964    99.315     0.016509    99.550    99.670    0.9954    0.9955    0.9954
  28     0.021996    99.388     0.016130    99.550    99.670    0.9957    0.9954    0.9956
  29     0.022462    99.395     0.014988    99.570    99.670    0.9957    0.9957    0.9957
  30     0.022447    99.343     0.015392    99.560    99.670    0.9955    0.9955    0.9955
  31     0.021116    99.440     0.012282    99.560    99.670    0.9957    0.9955    0.9956
  32     0.021551    99.365     0.014480    99.580    99.670    0.9958    0.9957    0.9958
  33     0.020587    99.403     0.014798    99.610    99.670    0.9961    0.9960    0.9961
  34     0.017921    99.485     0.011964    99.670    99.670    0.9967    0.9966    0.9967
  35     0.019013    99.432     0.013495    99.610    99.670    0.9961    0.9960    0.9961
  36     0.018731    99.475     0.013106    99.610    99.670    0.9961    0.9961    0.9961
  37     0.016593    99.507     0.011572    99.630    99.670    0.9963    0.9962    0.9963
  38     0.015754    99.547     0.014550    99.540    99.670    0.9955    0.9952    0.9954
  39     0.017475    99.470     0.010053    99.690    99.690    0.9969    0.9968    0.9969
  40     0.017336    99.507     0.010625    99.630    99.690    0.9963    0.9962    0.9962
  41     0.015802    99.550     0.011532    99.710    99.710    0.9971    0.9970    0.9971
  42     0.015546    99.550     0.014031    99.610    99.710    0.9961    0.9960    0.9961
  43     0.014416    99.585     0.010316    99.680    99.710    0.9968    0.9968    0.9968
  44     0.016049    99.468     0.011789    99.610    99.710    0.9960    0.9961    0.9961
  45     0.013566    99.605     0.010769    99.680    99.710    0.9968    0.9967    0.9968
  46     0.015441    99.562     0.011848    99.620    99.710    0.9963    0.9961    0.9962
  47     0.014788    99.553     0.010531    99.710    99.710    0.9971    0.9970    0.9971
  48     0.011167    99.677     0.019238    99.430    99.710    0.9942    0.9943    0.9943
